Name,Profile URL,Keywords Found
"Casale, Edgar Paul",https://engineering.osu.edu/people/casale.3,technology
"Castellucci, Emily",https://engineering.osu.edu/people/castellucci.5,technology
"Castro, Jose",https://engineering.osu.edu/people/castro.38,technology
"Chalmers, Jeffrey",https://engineering.osu.edu/people/chalmers.1,technology
"Champion, Adam",https://engineering.osu.edu/people/champion.17,technology
"Chao, Wei-Lun",https://engineering.osu.edu/people/chao.209,"technology, machine learning"
"Chapman, Gregg",https://engineering.osu.edu/people/chapman.415,technology
"Chen, Chen",https://engineering.osu.edu/people/chen.8018,"technology, computing, machine learning"
"Chen, Chi-Chih",https://engineering.osu.edu/people/chen.118,technology
"Chen, Jen-Ping",https://engineering.osu.edu/people/chen.1210,technology
"Chen, Jian",https://engineering.osu.edu/people/chen.8028,"technology, computing"
"Chen, Zhenhua",https://engineering.osu.edu/people/chen.7172,"technology, software"
"Cheramie, Kristi",https://engineering.osu.edu/people/cheramie.1,technology
"Childers, Rachel",https://engineering.osu.edu/people/childers.73,technology
"Chitikela, S. Rao",https://engineering.osu.edu/people/chitikela.4,technology
"Chiu, Lin",https://engineering.osu.edu/people/chiu.108,technology
"Chkrebtii, Oksana",https://engineering.osu.edu/people/chkrebtii.1,technology
"Cho, Hanna",https://engineering.osu.edu/people/cho.867,technology
"Choi, Bryan",https://engineering.osu.edu/people/choi.1399,"technology, software"
"Choudhary, Manoj",https://engineering.osu.edu/people/choudhary.91,technology
"Chowdhury, Enam",https://engineering.osu.edu/people/chowdhury.24,technology
"Clark, Jennifer",https://engineering.osu.edu/people/clark.3550,technology
"Clark, Jill",https://engineering.osu.edu/people/clark.1099,technology
"Clark, Jordan",https://engineering.osu.edu/people/clark.1217,technology
"Clay, John",https://engineering.osu.edu/people/clay.32,technology
"Clingan, Paul",https://engineering.osu.edu/people/clingan.3,"technology, software"
"Close, Doreen",https://engineering.osu.edu/people/close.2,technology
"Clymer, Bradley",https://engineering.osu.edu/people/clymer.1,technology
"Coifman, Benjamin",https://engineering.osu.edu/people/coifman.1,technology
"Collings, Edward",https://engineering.osu.edu/people/collings.2,technology
"Conejo, Antonio",https://engineering.osu.edu/people/conejo.1,technology
"Conroy, Maria",https://engineering.osu.edu/people/conroy.36,technology
"Conway, Daniel",https://engineering.osu.edu/people/conway.362,technology
"Cooper, Stuart",https://engineering.osu.edu/people/cooper.1682,technology
"Couzinie, Jean-Philippe",https://engineering.osu.edu/people/couzinie.1,technology
"Cox, Monica",https://engineering.osu.edu/people/cox.1192,technology
"Coy, Bradley",https://engineering.osu.edu/people/coy.48,technology
"Crawfis, Roger",https://engineering.osu.edu/people/crawfis.3,technology
"Cruse, Andrew",https://engineering.osu.edu/people/cruse.40,technology
"Cuellar Gaviria, Tatiana",https://engineering.osu.edu/people/cuellargaviria.2,technology
"D'Arpino, Matilde",https://engineering.osu.edu/people/darpino.2,technology
"D'Souza, Kiran",https://engineering.osu.edu/people/dsouza.60,technology
"Daehn, Glenn",https://engineering.osu.edu/people/daehn.1,technology
"Dakhil, Balsam",https://engineering.osu.edu/people/dakhil.2,technology
"Dalton, David",https://engineering.osu.edu/people/dalton.17,technology
"Dannemiller, Karen",https://engineering.osu.edu/people/dannemiller.70,technology
"Dapino, Marcelo",https://engineering.osu.edu/people/dapino.1,technology
"Davanloo, Sam",https://engineering.osu.edu/people/davanloo.1,technology
"Davidson, Stephanie",https://engineering.osu.edu/people/davidson.879,technology
"Davis, Jim",https://engineering.osu.edu/people/davis.1719,technology
"Davis, John",https://engineering.osu.edu/people/davis.6345,technology
"Dean, David",https://engineering.osu.edu/people/dean.1016,"technology, software"
"Detrick, Matthew",https://engineering.osu.edu/people/detrick.6,technology
"Dickman, Melanie",https://engineering.osu.edu/people/dickman.49,technology
"DiGiovine, Carmen",https://engineering.osu.edu/people/digiovine.1,technology
"Diles, Justin",https://engineering.osu.edu/people/diles.8,technology
"Ditzel, Peter",https://engineering.osu.edu/people/ditzel.2,technology
"Dorcéna, Jenny",https://engineering.osu.edu/people/dorcéna.1,technology
"Dregia, Suliman",https://engineering.osu.edu/people/dregia.1,technology
"Dreher, Matt",https://engineering.osu.edu/people/dreher.60,technology
"Dringenberg, Emily",https://engineering.osu.edu/people/dringenberg.1,technology
"Du, Lin",https://engineering.osu.edu/people/du.1093,technology
"Duan, Lian",https://engineering.osu.edu/people/duan.322,"technology, computing"
"Duong, Luan",https://engineering.osu.edu/people/duong.161,technology
"Dupaix, Rebecca",https://engineering.osu.edu/people/dupaix.1,technology
"Edwards, Lauren",https://engineering.osu.edu/people/edwards.1467,technology
"Eichaker, Lauren",https://engineering.osu.edu/people/eichaker.1,technology
"Ekici, Eylem",https://engineering.osu.edu/people/ekici.2,technology
"El Hamahmy, Mohamed",https://engineering.osu.edu/people/elhamahmy.1,technology
"El-Monier, Ilham",https://engineering.osu.edu/people/el-monier.1,"technology, machine learning, software"
"Ertin, Emre",https://engineering.osu.edu/people/ertin.1,technology
"Eryilmaz, Atilla",https://engineering.osu.edu/people/eryilmaz.2,technology
"Eryilmaz, Irem",https://engineering.osu.edu/people/eryilmaz.4,technology
"Essenhigh, Robert",https://engineering.osu.edu/people/essenhigh.1,technology
"Estill, Charles",https://engineering.osu.edu/people/estill.3,technology
"Etienne, Harley",https://engineering.osu.edu/people/etienne.21,technology
"Evwaraye, Ochuko",https://engineering.osu.edu/people/evwaraye.1,technology
"Ezell, Kyle",https://engineering.osu.edu/people/ezell.5,technology
"Fan, Liang-Shih",https://engineering.osu.edu/people/fan.1,technology
"Fang, Minghong",https://engineering.osu.edu/people/fang.841,technology
"Fang-Yen, Christopher",https://engineering.osu.edu/people/fang-yen.1,technology
"Farris, Clair",https://engineering.osu.edu/people/farris.94,technology
"Farson, Dave",https://engineering.osu.edu/people/farson.4,technology
"Fayed, Ayman",https://engineering.osu.edu/people/fayed.1,technology
"Fink, Carolin",https://engineering.osu.edu/people/fink.242,technology
"Fiorentini, Lisa",https://engineering.osu.edu/people/fiorentini.2,technology
"Fleeger, Nathan",https://engineering.osu.edu/people/fleeger.7,technology
"Fleming, William",https://engineering.osu.edu/people/fleming.206,technology
"Flowers, Benjamin",https://engineering.osu.edu/people/flowers.387,technology
"Fosler-Lussier, Eric",https://engineering.osu.edu/people/fosler-lussier.1,technology
"Franco, Michelle",https://engineering.osu.edu/people/franco.88,technology
"Frankel, Gerald",https://engineering.osu.edu/people/frankel.10,technology
"Fraser, Hamish",https://engineering.osu.edu/people/fraser.3,technology
"Friedman, Morton",https://engineering.osu.edu/people/friedman.1,technology
